#    L    TT             EE             BB             TE          
   247   0.551044E+04   0.215584E+01   0.220493E-01   0.584061E+02
   248   0.549417E+04   0.223140E+01   0.222248E-01   0.600536E+02
   249   0.547736E+04   0.230916E+01   0.224003E-01   0.616928E+02
   250   0.546002E+04   0.238915E+01   0.225757E-01   0.633230E+02
   251   0.544214E+04   0.247134E+01   0.227510E-01   0.649432E+02
   252   0.542373E+04   0.255578E+01   0.229262E-01   0.665528E+02
   253   0.540478E+04   0.264244E+01   0.231013E-01   0.681510E+02
   254   0.538532E+04   0.273136E+01   0.232763E-01   0.697368E+02
   255   0.536533E+04   0.282251E+01   0.234511E-01   0.713097E+02
   256   0.534483E+04   0.291592E+01   0.236257E-01   0.728687E+02
   257   0.532381E+04   0.301158E+01   0.238001E-01   0.744134E+02
   258   0.530230E+04   0.310948E+01   0.239743E-01   0.759427E+02
   259   0.528031E+04   0.320964E+01   0.241482E-01   0.774569E+02
   260   0.525785E+04   0.331206E+01   0.243219E-01   0.789540E+02
   261   0.523493E+04   0.341672E+01   0.244954E-01   0.804347E+02
   262   0.521156E+04   0.352364E+01   0.246685E-01   0.818974E+02
   263   0.518776E+04   0.363280E+01   0.248413E-01   0.833422E+02
   264   0.516354E+04   0.374421E+01   0.250138E-01   0.847676E+02
   265   0.513889E+04   0.385784E+01   0.251860E-01   0.861743E+02
   266   0.511382E+04   0.397369E+01   0.253578E-01   0.875602E+02
   267   0.508834E+04   0.409174E+01   0.255292E-01   0.889245E+02
   268   0.506246E+04   0.421199E+01   0.257003E-01   0.902679E+02
   269   0.503618E+04   0.433442E+01   0.258709E-01   0.915883E+02
   270   0.500950E+04   0.445901E+01   0.260411E-01   0.928863E+02
   271   0.498244E+04   0.458576E+01   0.262109E-01   0.941598E+02
   272   0.495501E+04   0.471465E+01   0.263802E-01   0.954095E+02
   273   0.492722E+04   0.484565E+01   0.265491E-01   0.966339E+02
   274   0.489908E+04   0.497874E+01   0.267174E-01   0.978338E+02
   275   0.487058E+04   0.511391E+01   0.268853E-01   0.990069E+02
   276   0.484177E+04   0.525113E+01   0.270527E-01   0.100154E+03
   277   0.481264E+04   0.539038E+01   0.272195E-01   0.101274E+03
   278   0.478319E+04   0.553165E+01   0.273858E-01   0.102365E+03
   279   0.475344E+04   0.567489E+01   0.275516E-01   0.103429E+03
   280   0.472340E+04   0.582007E+01   0.277168E-01   0.104464E+03
   281   0.469308E+04   0.596718E+01   0.278815E-01   0.105471E+03
   282   0.466249E+04   0.611617E+01   0.280455E-01   0.106447E+03
   283   0.463165E+04   0.626702E+01   0.282090E-01   0.107393E+03
   284   0.460055E+04   0.641971E+01   0.283719E-01   0.108308E+03
   285   0.456921E+04   0.657418E+01   0.285341E-01   0.109192E+03
   286   0.453764E+04   0.673042E+01   0.286958E-01   0.110045E+03
   287   0.450585E+04   0.688836E+01   0.288568E-01   0.110866E+03
   288   0.447386E+04   0.704800E+01   0.290171E-01   0.111654E+03
   289   0.444166E+04   0.720927E+01   0.291768E-01   0.112409E+03
   290   0.440928E+04   0.737215E+01   0.293359E-01   0.113131E+03
   291   0.437673E+04   0.753662E+01   0.294943E-01   0.113820E+03
   292   0.434401E+04   0.770253E+01   0.296520E-01   0.114474E+03
   293   0.431112E+04   0.786996E+01   0.298091E-01   0.115095E+03
   294   0.427810E+04   0.803884E+01   0.299654E-01   0.115680E+03
   295   0.424492E+04   0.820903E+01   0.301211E-01   0.116230E+03
   296   0.421162E+04   0.838058E+01   0.302761E-01   0.116745E+03
   297   0.417819E+04   0.855336E+01   0.304304E-01   0.117223E+03
   298   0.414466E+04   0.872737E+01   0.305840E-01   0.117664E+03
   299   0.411102E+04   0.890253E+01   0.307369E-01   0.118070E+03
   300   0.407730E+04   0.907876E+01   0.308891E-01   0.118438E+03
   301   0.404349E+04   0.925614E+01   0.310406E-01   0.118770E+03
   302   0.400962E+04   0.943446E+01   0.311914E-01   0.119065E+03
   303   0.397570E+04   0.961377E+01   0.313414E-01   0.119323E+03
   304   0.394174E+04   0.979401E+01   0.314908E-01   0.119544E+03
   305   0.390775E+04   0.997511E+01   0.316394E-01   0.119727E+03
   306   0.387374E+04   0.101571E+02   0.317874E-01   0.119873E+03
   307   0.383972E+04   0.103397E+02   0.319346E-01   0.119982E+03
   308   0.380571E+04   0.105231E+02   0.320811E-01   0.120052E+03
   309   0.377171E+04   0.107071E+02   0.322269E-01   0.120085E+03
   310   0.373772E+04   0.108916E+02   0.323720E-01   0.120081E+03
   311   0.370377E+04   0.110766E+02   0.325163E-01   0.120037E+03
   312   0.366985E+04   0.112621E+02   0.326600E-01   0.119956E+03
   313   0.363599E+04   0.114479E+02   0.328030E-01   0.119837E+03
   314   0.360219E+04   0.116340E+02   0.329453E-01   0.119680E+03
   315   0.356846E+04   0.118204E+02   0.330869E-01   0.119484E+03
   316   0.353480E+04   0.120069E+02   0.332278E-01   0.119250E+03
   317   0.350125E+04   0.121936E+02   0.333680E-01   0.118978E+03
   318   0.346779E+04   0.123802E+02   0.335076E-01   0.118668E+03
   319   0.343445E+04   0.125669E+02   0.336465E-01   0.118320E+03
   320   0.340122E+04   0.127535E+02   0.337848E-01   0.117935E+03
   321   0.336813E+04   0.129399E+02   0.339224E-01   0.117512E+03
   322   0.333517E+04   0.131261E+02   0.340593E-01   0.117051E+03
   323   0.330237E+04   0.133120E+02   0.341956E-01   0.116552E+03
   324   0.326972E+04   0.134974E+02   0.343313E-01   0.116017E+03
   325   0.323725E+04   0.136825E+02   0.344664E-01   0.115444E+03
   326   0.320494E+04   0.138671E+02   0.346009E-01   0.114835E+03
   327   0.317283E+04   0.140511E+02   0.347348E-01   0.114188E+03
   328   0.314091E+04   0.142344E+02   0.348681E-01   0.113504E+03
   329   0.310919E+04   0.144170E+02   0.350008E-01   0.112786E+03
   330   0.307768E+04   0.145987E+02   0.351330E-01   0.112030E+03
   331   0.304640E+04   0.147797E+02   0.352646E-01   0.111239E+03
   332   0.301534E+04   0.149597E+02   0.353957E-01   0.110412E+03
   333   0.298452E+04   0.151386E+02   0.355262E-01   0.109550E+03
   334   0.295394E+04   0.153166E+02   0.356563E-01   0.108654E+03
   335   0.292363E+04   0.154933E+02   0.357858E-01   0.107723E+03
   336   0.289357E+04   0.156688E+02   0.359149E-01   0.106757E+03
   337   0.286378E+04   0.158430E+02   0.360435E-01   0.105759E+03
   338   0.283427E+04   0.160159E+02   0.361717E-01   0.104727E+03
   339   0.280505E+04   0.161873E+02   0.362994E-01   0.103663E+03
   340   0.277612E+04   0.163573E+02   0.364267E-01   0.102566E+03
   341   0.274749E+04   0.165257E+02   0.365536E-01   0.101438E+03
   342   0.271917E+04   0.166925E+02   0.366801E-01   0.100277E+03
   343   0.269116E+04   0.168575E+02   0.368062E-01   0.990857E+02
   344   0.266345E+04   0.170207E+02   0.369320E-01   0.978630E+02
   345   0.263607E+04   0.171820E+02   0.370575E-01   0.966097E+02
   346   0.260901E+04   0.173414E+02   0.371826E-01   0.953257E+02
   347   0.258228E+04   0.174987E+02   0.373074E-01   0.940119E+02
   348   0.255589E+04   0.176538E+02   0.374320E-01   0.926682E+02
   349   0.252984E+04   0.178068E+02   0.375563E-01   0.912968E+02
   350   0.250414E+04   0.179576E+02   0.376803E-01   0.898971E+02
   351   0.247880E+04   0.181062E+02   0.378041E-01   0.884704E+02
   352   0.245383E+04   0.182524E+02   0.379277E-01   0.870175E+02
   353   0.242923E+04   0.183963E+02   0.380511E-01   0.855385E+02
   354   0.240501E+04   0.185379E+02   0.381744E-01   0.840354E+02
   355   0.238118E+04   0.186769E+02   0.382975E-01   0.825077E+02
   356   0.235773E+04   0.188134E+02   0.384204E-01   0.809559E+02
   357   0.233467E+04   0.189474E+02   0.385433E-01   0.793810E+02
   358   0.231201E+04   0.190786E+02   0.386661E-01   0.777836E+02
